Name,Code,Indicator_Name,Indicator_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Maldives,MDV,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007462984,0.007462984,0.007462984,0.007462984,0.007462984,0.007462984,0,0,0,0,0,0,0,0.049230684,0.138354294,0.025196509,2.307369356,0.013262841,0.062445492,0,0.028700898,0.468768157,0.240249611,0.28753273,0.985978552,2.543880015,1.648596644,1.182979869,1.203913339,0.267984612,0.267984612,,
Maldives,MDV,Commercial service imports (current US$),TM.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,1000000,1400000,24500000,40300000,49800000,45400000,36900000,33200000,23700000,20049000,25090000,27260000,28088000,37127000,41340000,48600000,56105000,61684171.28,75410111.21,86389871.83,92837730.21,97560160.61,106715540.6,107915789.9,108445024.1,109878585.8,118788077.4,155128067.4,210170530.1,226361721.4,326382287.8,419466517.4,394148448.6,445916473.6,575592082.2,567283123.1,691679398.1,788005559.1,866972281.7,1093942512,1264433231,1327722617,1326312738,727329907.2,1078082840,1573500930
Maldives,MDV,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,,,,,,,,,,,,,,,,,,,,,,38534100,68590482.9,66225611.71,70835717.16,70124586.92,78424813.88,98122291.32,121997055.7,143013137.4,137879000,161751000,189280000,191277076.4,221716852,356659752.1,300135514,348848428.2,353971707.7,402159558.2,387519360,391781714,390083463,469821116,643516809,740748362,928368911,1098471773,1390270156,968059126,1097295620,1414477450,1557595238,1736733077,1996714369,1900624827,2132199060,2364303618,2959822217,2887506089,1837869227,,
Maldives,MDV,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0.031372734,,,,,0.002901094,0.003091171,0.037510566,0.036538191,0.003794509,0.324086936,,,,,0.0057561,0.018133057,0.025534535,0.034521863,0.104604571,0.07241474,0.153920385,0.350447421,0.131329152,0.20187176,0.230087677,0.282315635,0.18261413,0.223180237,0.138271905,0.276408628,0.332533774,0.221350505,0.307436911,0.246284953,0.305551392,,
Maldives,MDV,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,,,,,,,,,,,,,,,,,,,,,,17.31038223,8.094554974,10.3571255,6.697547334,8.585257068,7.491011284,7.159203443,9.003619054,9.476014139,6.752297304,6.744316882,8.393913779,8.951690684,8.834879856,7.151111521,15.27140813,14.3055218,12.24737756,13.98082738,19.92691281,16.81672029,13.35184004,16.76045101,16.16606506,16.53263555,17.39802638,19.16266436,17.00699954,17.56043979,19.40865826,18.13326808,18.28766075,18.45409996,20.80901357,24.99417303,30.15630032,30.0529686,35.56641412,32.242138,31.33001954,,
Maldives,MDV,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.850426244,1.631672129,2.452368019,2.882698477,2.626663096,1.85333191,2.11151633,2.264943458,2.023230245,2.322272446,2.341342887,2.254322549,3.416211769,2.696736592,2.262137104,2.219038136,1.998187446,2.065384103,1.780437906,2.174829477,3.428924988,3.591256239,4.130138309,4.874543076,2.883121208,,3.008241841,
Maldives,MDV,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38158238,9.06097717,11.10674452,5.8517454,6.913038128,11.68586913,11.80187486,13.08583307,11.78177656,14.13621552,15.50710856,19.59863798,18.55075786,22.72159929,20.65749965,23.05405713,24.9370225,31.33261791,29.06899156,28.68083233,15.21989551,11.63366131,13.31446529,15.71387625,16.1413139,,17.67026924,
Maldives,MDV,"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.79,18.24,17.15,18.54,17.03,19.65,19.77,,18.43,17.81,17.94,18.36,1.96,1.98,2.16,5.74,5.54,5.34,4.9,28.31,5.33,,
Maldives,MDV,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47,18.77,17.99,17.82,17.37,18.08,17.98,,17.53,17.65,17.88,17.93,7.7,7.58,6.91,6.62,6.6,7.05,7.48,14.17,7.6,,
Maldives,MDV,"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45,20.22,19.87,20.68,19.84,21.1,21.24,,20.37,20.05,19.71,20.75,6.56,7.1,7.85,11.66,11.86,13.16,12.03,19.03,12.2,,
